virus pdb plddt pre_TM post_TM
JUNV rank_001_alphafold2_multimer_v3_model_5_seed_000.pdb 42.7 0.2491 0.2708
JUNV rank_002_alphafold2_multimer_v3_model_4_seed_000.pdb 51.6 0.3813 0.2709
JUNV rank_003_alphafold2_multimer_v3_model_3_seed_000.pdb 45.7 0.3444 0.2448
JUNV rank_004_alphafold2_multimer_v3_model_2_seed_000.pdb 52.4 0.2606 0.1930
JUNV rank_005_alphafold2_multimer_v3_model_1_seed_000.pdb 41.2 0.2003 0.2310
JUNV alphafold2_multimer_v3_model_1_seed_000.r0.pdb 37.2 0.2563 0.2580
JUNV alphafold2_multimer_v3_model_1_seed_000.r1.pdb 37.6 0.1802 0.2416
JUNV alphafold2_multimer_v3_model_1_seed_000.r2.pdb 39.2 0.1932 0.2508
JUNV alphafold2_multimer_v3_model_1_seed_000.r3.pdb 39.7 0.1740 0.2477
JUNV alphafold2_multimer_v3_model_1_seed_000.r4.pdb 41.9 0.2032 0.2399
JUNV alphafold2_multimer_v3_model_1_seed_000.r5.pdb 41.2 0.1988 0.2316
JUNV alphafold2_multimer_v3_model_2_seed_000.r0.pdb 45.2 0.2031 0.2216
JUNV alphafold2_multimer_v3_model_2_seed_000.r1.pdb 47 0.2534 0.2001
JUNV alphafold2_multimer_v3_model_2_seed_000.r2.pdb 48.9 0.2667 0.2065
JUNV alphafold2_multimer_v3_model_2_seed_000.r3.pdb 52.2 0.2619 0.2093
JUNV alphafold2_multimer_v3_model_2_seed_000.r4.pdb 50.9 0.2669 0.2031
JUNV alphafold2_multimer_v3_model_2_seed_000.r5.pdb 52.4 0.2609 0.2082
JUNV alphafold2_multimer_v3_model_3_seed_000.r0.pdb 46.3 0.2007 0.2777
JUNV alphafold2_multimer_v3_model_3_seed_000.r1.pdb 46 0.3640 0.2399
JUNV alphafold2_multimer_v3_model_3_seed_000.r2.pdb 47.5 0.3700 0.2166
JUNV alphafold2_multimer_v3_model_3_seed_000.r3.pdb 47.5 0.3618 0.2579
JUNV alphafold2_multimer_v3_model_3_seed_000.r4.pdb 46.3 0.3638 0.2646
JUNV alphafold2_multimer_v3_model_3_seed_000.r5.pdb 45.7 0.3445 0.2984
JUNV alphafold2_multimer_v3_model_4_seed_000.r0.pdb 43.2 0.2099 0.2675
JUNV alphafold2_multimer_v3_model_4_seed_000.r1.pdb 41.6 0.3170 0.3115
JUNV alphafold2_multimer_v3_model_4_seed_000.r2.pdb 47.2 0.2946 0.3057
JUNV alphafold2_multimer_v3_model_4_seed_000.r3.pdb 51.4 0.1950 0.2744
JUNV alphafold2_multimer_v3_model_4_seed_000.r4.pdb 52.7 0.3425 0.2668
JUNV alphafold2_multimer_v3_model_4_seed_000.r5.pdb 51.6 0.3817 0.2411
JUNV alphafold2_multimer_v3_model_5_seed_000.r0.pdb 38.8 0.2018 0.2575
JUNV alphafold2_multimer_v3_model_5_seed_000.r1.pdb 41.8 0.2228 0.3147
JUNV alphafold2_multimer_v3_model_5_seed_000.r2.pdb 39.2 0.1917 0.2388
JUNV alphafold2_multimer_v3_model_5_seed_000.r3.pdb 41.4 0.1995 0.2779
JUNV alphafold2_multimer_v3_model_5_seed_000.r4.pdb 40.2 0.2549 0.2943
JUNV alphafold2_multimer_v3_model_5_seed_000.r5.pdb 42.7 0.2500 0.2886
